,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,country
0,uri,http://www.wikidata.org/entity/Q53672435,en,literal,Pimalai Resort & Spa,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
1,uri,http://www.wikidata.org/entity/Q56759840,en,literal,Chai Thung Coffee,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-09-29T00:00:00Z,,,,,,,,,,wd:Q869
2,uri,http://www.wikidata.org/entity/Q35980843,en,literal,Jorkwang Film,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q1407228, http://www.wikidata.org/entity/Q932586",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
3,uri,http://www.wikidata.org/entity/Q13025846,en,literal,Workpoint TV,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q459748,literal,http://www.wikidata.org/entity/Q6667106,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-09-09T00:00:00Z,,,,,,,,,,wd:Q869
4,uri,http://www.wikidata.org/entity/Q109295941,en,literal,bTaskee,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,,,,,,,wd:Q869
5,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
6,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,,,,wd:Q869
7,uri,http://www.wikidata.org/entity/Q119134832,en,literal,D'ORO,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
8,uri,http://www.wikidata.org/entity/Q29563269,en,literal,Nadao Bangkok,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q1415395, http://www.wikidata.org/entity/Q1407228",literal,,literal,,literal,http://www.wikidata.org/entity/Q15735821,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-09-09T00:00:00Z,,,,,,,,,,wd:Q869
9,uri,http://www.wikidata.org/entity/Q60156848,en,literal,Irish Embassy,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
