,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q4765942,en,literal,Ankabut,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q878,literal,,,,,,,,,,,,,,,,,wd:Q878
1,uri,http://www.wikidata.org/entity/Q6702930,en,literal,LuLu Group International,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
2,uri,http://www.wikidata.org/entity/Q114877710,en,literal,Dubai Investment Fund,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2600,,,,,,,,,,,,,wd:Q878
3,uri,http://www.wikidata.org/entity/Q5827792,en,literal,W Motors,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
4,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q817,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
5,uri,http://www.wikidata.org/entity/Q180432,en,literal,Emirates,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-03-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,http://www.wikidata.org/entity/Q7803316,literal,,literal,http://www.wikidata.org/entity/Q3501086,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,100000,http://www.w3.org/2001/XMLSchema#decimal,literal,127587000000,,,,,,,,,,wd:Q878
6,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
7,uri,http://www.wikidata.org/entity/Q1153463,en,literal,Emaar Properties,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q695829,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1000,http://www.w3.org/2001/XMLSchema#decimal,literal,112751930000,http://www.w3.org/2001/XMLSchema#decimal,literal,6777915000,,,,,,,wd:Q878
8,uri,http://www.wikidata.org/entity/Q111668405,,literal,Q111668405,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
9,uri,http://www.wikidata.org/entity/Q124591292,en,literal,Sharjah Broadcasting Authority,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q289693,literal,,,,,,,,,,,,,,,,,wd:Q878
