,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
0,uri,http://www.wikidata.org/entity/Q112650982,en,literal,Pictionary Art Factory,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q11425,literal,,literal,,literal,http://www.wikidata.org/entity/Q42124,literal,,ko,literal,픽셔너리 애니메이션 스튜디오,,,,,,,,,,,,,,,,wd:Q884
1,uri,http://www.wikidata.org/entity/Q12581771,en,literal,SALT Entertainment,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q1415395,literal,,literal,,literal,http://www.wikidata.org/entity/Q50411,literal,,ko,literal,주식회사 솔트엔터테인먼트,,,,,,,,,,,,,,,,wd:Q884
2,uri,http://www.wikidata.org/entity/Q112053028,en,literal,Sunny Side Up,,,,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
3,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,,,,wd:Q884
4,uri,http://www.wikidata.org/entity/Q265176,en,literal,Qcells,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q11023,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,"http://www.wikidata.org/entity/Q294848, http://www.wikidata.org/entity/Q378967",,,,,,,,,,,,,,,,,,,wd:Q884
5,uri,http://www.wikidata.org/entity/Q85872777,en,literal,EDAM Entertainment,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
6,uri,http://www.wikidata.org/entity/Q16165885,en,literal,Arirang Radio,,,,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8684,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
7,uri,http://www.wikidata.org/entity/Q490182,en,literal,Mnet,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
8,uri,http://www.wikidata.org/entity/Q483938,en,literal,SM Entertainment,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-02-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,"http://www.wikidata.org/entity/Q10302058, http://www.wikidata.org/entity/Q638",literal,,literal,,literal,http://www.wikidata.org/entity/Q2681469,literal,,ko,literal,주식회사 에스.엠.엔터테인먼트,http://www.w3.org/2001/XMLSchema#decimal,literal,601,,,,,,,,,,,,,wd:Q884
9,uri,http://www.wikidata.org/entity/Q118465458,en,literal,The Contents On,,,,uri,http://www.wikidata.org/entity/Q884,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q884
