,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,country
0,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1033,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,,,,wd:Q948
1,uri,http://www.wikidata.org/entity/Q3355077,en,literal,Orange Tunisia,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,http://www.wikidata.org/entity/Q56598901,literal,,literal,,literal,http://www.wikidata.org/entity/Q3572,literal,,,,,wd:Q948
2,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1036,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,,,,wd:Q948
3,uri,http://www.wikidata.org/entity/Q17061030,en,literal,Jumia,en,literal,Jumia,http://www.w3.org/2001/XMLSchema#decimal,literal,4000,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1041,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1024647,literal,,,,,wd:Q948
4,uri,http://www.wikidata.org/entity/Q2444780,en,literal,Ooredoo Tunisia,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3572,literal,,,,,wd:Q948
5,uri,http://www.wikidata.org/entity/Q2403303,en,literal,Jawhara FM,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-07-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,,literal,,,,,wd:Q948
6,uri,http://www.wikidata.org/entity/Q3542108,en,literal,Tunisie Telecom,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-04-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3572,literal,,,,,wd:Q948
7,uri,http://www.wikidata.org/entity/Q3481861,en,literal,Shems FM,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-09-27T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,,literal,,,,,wd:Q948
8,uri,http://www.wikidata.org/entity/Q2882969,en,literal,Banque Zitouna,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2536593,literal,,,,,wd:Q948
9,uri,http://www.wikidata.org/entity/Q2842699,en,literal,Amen Bank,,,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q948,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3572,literal,,,,,wd:Q948
