,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q113217174,en,literal,Santandreu,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q96
1,uri,http://www.wikidata.org/entity/Q1415922,en,literal,Sauza Tequila,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q9022,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1873-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q96
2,uri,http://www.wikidata.org/entity/Q25002045,en,literal,XEWR-AM,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q96
3,uri,http://www.wikidata.org/entity/Q50652529,en,literal,Onewayhope,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q43421,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q96
4,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,wd:Q96
5,uri,http://www.wikidata.org/entity/Q1539696,en,literal,National Polytechnic Institute,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1936-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q96
6,uri,http://www.wikidata.org/entity/Q8041814,en,literal,XHGNK-FM,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q96
7,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q1183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,,,,,,,,,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q96
8,uri,http://www.wikidata.org/entity/Q3376620,en,literal,Tajín,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q96
9,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1345, http://www.wikidata.org/entity/Q2662373",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,,,,wd:Q96
10,uri,http://www.wikidata.org/entity/Q80478,en,literal,Las Estrellas,uri,http://www.wikidata.org/entity/Q96,literal,"http://www.wikidata.org/entity/Q56611639, http://www.wikidata.org/entity/Q11024",literal,,literal,,literal,http://www.wikidata.org/entity/Q1489,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q96
11,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q45,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,,,,,,,,,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",wd:Q96
