,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,country
0,uri,http://www.wikidata.org/entity/Q113364494,en,literal,Sketchy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,,,,wd:Q30
1,uri,http://www.wikidata.org/entity/Q7948152,en,literal,WCUR,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,wd:Q30
2,uri,http://www.wikidata.org/entity/Q114918005,en,literal,Consume,,,,,,,wd:Q30
3,uri,http://www.wikidata.org/entity/Q114918071,en,literal,Verilife,,,,,,,wd:Q30
4,uri,http://www.wikidata.org/entity/Q1885099,en,literal,Time Warner Cable,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,,,,wd:Q30
5,uri,http://www.wikidata.org/entity/Q6980874,en,literal,NatureWorks,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,,,,wd:Q30
6,uri,http://www.wikidata.org/entity/Q7952314,en,literal,WLLD,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,wd:Q30
7,uri,http://www.wikidata.org/entity/Q16903697,en,literal,WPFW,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,,,,wd:Q30
8,uri,http://www.wikidata.org/entity/Q24883437,en,literal,Trunk Club,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,wd:Q30
9,uri,http://www.wikidata.org/entity/Q2588602,en,literal,American Anthropological Association,http://www.w3.org/2001/XMLSchema#dateTime,literal,1902-01-01T00:00:00Z,,,,wd:Q30
10,uri,http://www.wikidata.org/entity/Q130763,en,literal,Tripwire Interactive,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,wd:Q30
11,uri,http://www.wikidata.org/entity/Q7949436,en,literal,WFNZ,http://www.w3.org/2001/XMLSchema#dateTime,literal,1941-01-01T00:00:00Z,,,,wd:Q30
12,uri,http://www.wikidata.org/entity/Q52035880,en,literal,Birnam Wood Games,,,,,,,wd:Q30
13,uri,http://www.wikidata.org/entity/Q17108901,en,literal,United Supermarkets,http://www.w3.org/2001/XMLSchema#dateTime,literal,1916-01-01T00:00:00Z,,,,wd:Q30
14,uri,http://www.wikidata.org/entity/Q114961154,en,literal,FieldLine Inc,,,,,,,wd:Q30
15,uri,http://www.wikidata.org/entity/Q60768270,en,literal,Honey,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,wd:Q30
16,uri,http://www.wikidata.org/entity/Q3265728,en,literal,Tower Records,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,,,,wd:Q30
17,uri,http://www.wikidata.org/entity/Q7598289,en,literal,SP+,http://www.w3.org/2001/XMLSchema#dateTime,literal,1929-01-01T00:00:00Z,,,,wd:Q30
