,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,country
0,en,literal,KUAF,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
1,en,literal,WPLN-FM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
2,en,literal,KJBI,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
3,en,literal,New Hampshire PBS,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
4,en,literal,KSPN,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
5,en,literal,KBHU-FM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
6,en,literal,Capital One,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q837171,literal,http://www.wikidata.org/entity/Q7325595,literal,,literal,http://www.wikidata.org/entity/Q963138,literal,http://www.wikidata.org/entity/Q242345,wd:Q30
7,en,literal,VERSONA,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q16565,literal,,wd:Q30
8,en,literal,WEQX,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
9,en,literal,Wawa,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q1132103,literal,,wd:Q30
10,en,literal,Marchon Eyewear,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
11,en,literal,sittercity.com,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q1455871,literal,,literal,,literal,,literal,,wd:Q30
12,en,literal,rabbittransit,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
13,en,literal,Moorgate Partners,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,wd:Q30
14,en,literal,"Purple Innovation, Inc.",uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1010595,literal,,wd:Q30
15,en,literal,WKMG-TV,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q49233,literal,,wd:Q30
16,en,literal,HomeVestors of America,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q16557,literal,,wd:Q30
17,en,literal,National American University,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q213325,literal,,wd:Q30
18,en,literal,Anomaly,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q37038,literal,,literal,,literal,,literal,,wd:Q30
19,en,literal,WFBQ,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
20,en,literal,WTIC-TV,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33486,literal,,wd:Q30
21,en,literal,WFMX,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
22,en,literal,American Transmission Company (United States),uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
23,en,literal,Priority Bicycles,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
24,en,literal,Biomedical Research & Longevity Society,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q165972,literal,,wd:Q30
25,en,literal,WOOF-FM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
26,en,literal,Saja Typeworks,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5083,literal,,wd:Q30
27,en,literal,Sierra Nevada Corporation,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q936518,literal,,literal,,literal,http://www.wikidata.org/entity/Q211629,literal,,wd:Q30
28,en,literal,WVMX,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
29,en,literal,PerkinElmer,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q16876759,literal,,literal,,literal,http://www.wikidata.org/entity/Q49190,literal,http://www.wikidata.org/entity/Q242345,wd:Q30
30,en,literal,WGNO,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34404,literal,,wd:Q30
31,en,literal,Allen Media Group,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q65,literal,,wd:Q30
32,en,literal,Micro Center,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q630874,literal,,wd:Q30
33,en,literal,WAVZ,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
34,en,literal,Bear Creek Ski and Recreation Area,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
35,en,literal,Wahlburgers,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q41958,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2305817, http://www.wikidata.org/entity/Q100",literal,,wd:Q30
36,en,literal,KVET-FM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
37,en,literal,Burton Snowboards,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q57264543,literal,,literal,,literal,http://www.wikidata.org/entity/Q31058,literal,,wd:Q30
38,en,literal,Eaton Corporation,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q187939,literal,,literal,,literal,http://www.wikidata.org/entity/Q37320,literal,http://www.wikidata.org/entity/Q242345,wd:Q30
39,en,literal,Blustery Day Design,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1998331,literal,,wd:Q30
40,en,literal,1st Security Bank,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,http://www.wikidata.org/entity/Q852607,literal,,wd:Q30
41,en,literal,KDTP,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q79912,literal,,wd:Q30
42,en,literal,Bengal Barbecue,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
43,en,literal,Matto Espresso,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
44,en,literal,KLAY,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
45,en,literal,WYCD,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
46,en,literal,Lindenwood University,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
47,en,literal,DAOU Vineyards & Winery,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
48,en,literal,KSTU,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q23337,literal,,wd:Q30
49,en,literal,TransDigm Group Inc.,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q936518, http://www.wikidata.org/entity/Q187939",literal,,literal,,literal,http://www.wikidata.org/entity/Q37320,literal,http://www.wikidata.org/entity/Q242345,wd:Q30
50,en,literal,WXLP,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
51,en,literal,Rockwell Automation,uri,http://www.wikidata.org/entity/Q30,literal,,literal,http://www.wikidata.org/entity/Q107177100,literal,,literal,http://www.wikidata.org/entity/Q37836,literal,http://www.wikidata.org/entity/Q242345,wd:Q30
52,en,literal,HCA Corporation,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,,literal,http://www.wikidata.org/entity/Q23197,literal,http://www.wikidata.org/entity/Q242345,wd:Q30
53,en,literal,Family Tree Acupuncture,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q937737, http://www.wikidata.org/entity/Q200253, http://www.wikidata.org/entity/Q121713",literal,,literal,,literal,,literal,,wd:Q30
54,en,literal,Amsoil,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q902134,literal,,literal,,literal,"http://www.wikidata.org/entity/Q984577, http://www.wikidata.org/entity/Q1537",literal,,wd:Q30
55,en,literal,Athlon Sports Communications,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q23197,literal,,wd:Q30
56,en,literal,WZRR,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
57,en,literal,Ledo Pizza,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q81799,literal,,literal,,literal,http://www.wikidata.org/entity/Q61,literal,,wd:Q30
58,en,literal,Uproxx,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q493378,literal,,wd:Q30
59,en,literal,Adventist World Radio,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
60,en,literal,WMIB,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
61,en,literal,Disneyland,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
62,en,literal,Behr,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q49244,literal,,wd:Q30
63,en,literal,Array,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q16319025,literal,http://www.wikidata.org/entity/Q113988173,literal,,literal,http://www.wikidata.org/entity/Q1384,literal,,wd:Q30
64,en,literal,Patsy's,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
65,en,literal,Invoke,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q100,literal,,wd:Q30
66,en,literal,Sceptre Incorporated,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q11650,literal,,literal,,literal,http://www.wikidata.org/entity/Q927094,literal,,wd:Q30
67,en,literal,CollegeBoxes,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q31839371,literal,,literal,,literal,http://www.wikidata.org/entity/Q16556,literal,,wd:Q30
68,en,literal,Christie's,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q177923,literal,,literal,,literal,"http://www.wikidata.org/entity/Q60, http://www.wikidata.org/entity/Q84",literal,,wd:Q30
69,en,literal,Fitbit,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q581105,literal,http://www.wikidata.org/entity/Q22279573,literal,,literal,http://www.wikidata.org/entity/Q62,literal,,wd:Q30
70,en,literal,"Mary Ann Liebert, Inc.",uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,http://www.wikidata.org/entity/Q121190340,literal,http://www.wikidata.org/entity/Q744948,literal,,wd:Q30
71,en,literal,Society for Judgment and Decision Making,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
