,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,markcap.datatype,markcap.type,markcap.value,country
0,en,literal,Mobile Beacon,,,,,,,,,,,,,,,,wd:Q30
1,en,literal,Rarible,,,,,,,,,,,,,,,,wd:Q30
2,en,literal,Asana Inc.,,,,,,,,,,,,,,,,wd:Q30
3,en,literal,P.M.B.Q. Studios,,,,,,,,,,,,,,,,wd:Q30
4,en,literal,AmNav Maritime Services,,,,,,,,,,,,,,,,wd:Q30
5,en,literal,VMDO Architects,,,,,,,,,,,,,,,,wd:Q30
6,en,literal,Blue Ridge Stitches,,,,,,,,,,,,,,,,wd:Q30
7,en,literal,Horseshoe Junction,,,,,,,,,,,,,,,,wd:Q30
8,en,literal,Lehigh University,http://www.w3.org/2001/XMLSchema#decimal,literal,1861,http://www.w3.org/2001/XMLSchema#decimal,literal,2594231000,,,,,,,,,,wd:Q30
9,en,literal,American Academy of Art College,http://www.w3.org/2001/XMLSchema#decimal,literal,70,http://www.w3.org/2001/XMLSchema#decimal,literal,18942161,,,,,,,,,,wd:Q30
10,en,literal,Diggerland USA,,,,,,,,,,,,,,,,wd:Q30
11,en,literal,"Occidental Entertainment Group Holdings, Inc.",,,,,,,,,,,,,,,,wd:Q30
12,en,literal,Faegre Drinker,,,,,,,,,,,,,,,,wd:Q30
13,en,literal,Minnow Mountain,,,,,,,,,,,,,,,,wd:Q30
14,en,literal,Texas Farm Bureau Insurance,,,,,,,,,,,,,,,,wd:Q30
15,en,literal,Family Auto Group LLC,,,,,,,,,,,,,,,,wd:Q30
16,en,literal,Blue Federal Credit Union,,,,,,,,,,,,,,,,wd:Q30
17,en,literal,Paula Wiseman Books,,,,,,,,,,,,,,,,wd:Q30
18,en,literal,Road Runner Sports,,,,,,,,,,,,,,,,wd:Q30
19,en,literal,Dexter Winter Farmers Market,,,,,,,,,,,,,,,,wd:Q30
20,en,literal,Offbrand,,,,,,,,,,,,,,,,wd:Q30
21,en,literal,Ted & Company TheaterWorks,,,,,,,,,,,,,,,,wd:Q30
22,en,literal,Howard's Club H,,,,,,,,,,,,,,,,wd:Q30
23,en,literal,McEvoy Foundation for the Arts,,,,,,,,,,,,,,,,wd:Q30
24,en,literal,National Marine Fisheries Service,http://www.w3.org/2001/XMLSchema#decimal,literal,4200,,,,,,,,,,,,,wd:Q30
25,en,literal,Equipment Depot,,,,,,,,,,,,,,,,wd:Q30
26,en,literal,Americor,,,,,,,,,,,,,,,,wd:Q30
27,en,literal,Atlantic Shores Offshore Wind,,,,,,,,,,,,,,,,wd:Q30
28,en,literal,Joey Fratello's Pizzeria,,,,,,,,,,,,,,,,wd:Q30
29,en,literal,Ohio Distinctive Software,,,,,,,,,,,,,,,,wd:Q30
30,en,literal,Vermilion Valley Resort,,,,,,,,,,,,,,,,wd:Q30
31,en,literal,Gorjana,,,,,,,,,,,,,,,,wd:Q30
32,en,literal,Boyd CAT,,,,,,,,,,,,,,,,wd:Q30
33,en,literal,N C Machinery,,,,,,,,,,,,,,,,wd:Q30
34,en,literal,Wyoming Equipment Company,,,,,,,,,,,,,,,,wd:Q30
35,en,literal,plants.com,,,,,,,,,,,,,,,,wd:Q30
36,en,literal,QuadZ,,,,,,,,,,,,,,,,wd:Q30
37,en,literal,The Federal Savings Bank,,,,,,,,,,,,,,,,wd:Q30
38,en,literal,Waking Oni Games,,,,,,,,,,,,,,,,wd:Q30
39,en,literal,Spreaker,,,,,,,,,,,,,,,,wd:Q30
40,en,literal,"Anyscale, Inc.",,,,,,,,,,,,,,,,wd:Q30
41,en,literal,BOA Technology Inc.,,,,,,,,,,,,,,,,wd:Q30
42,en,literal,Oaklandish,,,,,,,,,,,,,,,,wd:Q30
43,en,literal,Verisign,http://www.w3.org/2001/XMLSchema#decimal,literal,1019,http://www.w3.org/2001/XMLSchema#decimal,literal,2941000000,http://www.w3.org/2001/XMLSchema#decimal,literal,673800000,http://www.w3.org/2001/XMLSchema#decimal,literal,-1201000000,,,,wd:Q30
44,en,literal,Major League Soccer,,,,,,,,,,,,,,,,wd:Q30
45,en,literal,Dell Technologies,,,,,,,,,,,,,,,,wd:Q30
46,en,literal,Sally Ride Science,,,,,,,,,,,,,,,,wd:Q30
47,en,literal,Schwinn Bicycle Company,,,,,,,,,,,,,,,,wd:Q30
48,en,literal,Fox Sports International,,,,,,,,,,,,,,,,wd:Q30
49,en,literal,National Basketball Association,,,,,,,,,,,,,,,,wd:Q30
50,en,literal,Paramount Pictures,,,,,,,,,,,,,,,,wd:Q30
51,en,literal,The CW,,,,,,,,,,,,,,,,wd:Q30
52,en,literal,Alexa Internet,,,,,,,,,,,,,,,,wd:Q30
53,en,literal,American Chemical Society,,,,,,,,,,,,,,,,wd:Q30
54,en,literal,Feral House,,,,,,,,,,,,,,,,wd:Q30
55,en,literal,Gideons International,,,,,,,,,,,,,,,,wd:Q30
56,en,literal,Johnson & Johnson,http://www.w3.org/2001/XMLSchema#decimal,literal,134000,http://www.w3.org/2001/XMLSchema#decimal,literal,174894000000,http://www.w3.org/2001/XMLSchema#decimal,literal,17941000000,http://www.w3.org/2001/XMLSchema#decimal,literal,63278000000,http://www.w3.org/2001/XMLSchema#decimal,literal,430880000000,wd:Q30
57,en,literal,Kentucky Kingdom,,,,,,,,,,,,,,,,wd:Q30
58,en,literal,San Francisco Opera,,,,,,,,,,,,,,,,wd:Q30
59,en,literal,American Apparel,,,,,,,,,,,,,,,,wd:Q30
60,en,literal,American Economic Association,,,,,,,,,,,,,,,,wd:Q30
61,en,literal,American Thoracic Society,,,,,,,,,,,,,,,,wd:Q30
62,en,literal,VF Corporation,,,,,,,,,,,,,,,,wd:Q30
63,en,literal,Chick-fil-A,,,,,,,,,,,,,,,,wd:Q30
64,en,literal,Three Angels Broadcasting Network,,,,,,,,,,,,,,,,wd:Q30
65,en,literal,Imagine Entertainment,,,,,,,,,,,,,,,,wd:Q30
66,en,literal,Leidos,,,,,,,,,,,,,,,,wd:Q30
67,en,literal,Pantheon Books,,,,,,,,,,,,,,,,wd:Q30
68,en,literal,KSPF,,,,,,,,,,,,,,,,wd:Q30
69,en,literal,Omni Air International,,,,,,,,,,,,,,,,wd:Q30
70,en,literal,Aramark,,,,,,,,,,,,,,,,wd:Q30
71,en,literal,Cadence Design Systems,,,,,,,,,,,,,,,,wd:Q30
72,en,literal,Maybach Music Group,,,,,,,,,,,,,,,,wd:Q30
73,en,literal,Northwestern University Libraries,,,,,,,,,,,,,,,,wd:Q30
74,en,literal,Summit Entertainment,,,,,,,,,,,,,,,,wd:Q30
75,en,literal,Sunrise Senior Living,,,,,,,,,,,,,,,,wd:Q30
76,en,literal,Aria Resort and Casino,,,,,,,,,,,,,,,,wd:Q30
77,en,literal,Viz Media,,,,,,,,,,,,,,,,wd:Q30
78,en,literal,WCFE-TV,,,,,,,,,,,,,,,,wd:Q30
79,en,literal,Bulova Watch Company,,,,,,,,,,,,,,,,wd:Q30
80,en,literal,Meade Instruments,,,,,,,,,,,,,,,,wd:Q30
81,en,literal,Din Tai Fung,,,,,,,,,,,,,,,,wd:Q30
82,en,literal,Trans World Radio,,,,,,,,,,,,,,,,wd:Q30
83,en,literal,Trend Micro,,,,,,,,,,,,,,,,wd:Q30
84,en,literal,Aspyr,,,,,,,,,,,,,,,,wd:Q30
85,en,literal,Epic Games,,,,,,,,,,,,,,,,wd:Q30
86,en,literal,Industrial Light & Magic,,,,,,,,,,,,,,,,wd:Q30
87,en,literal,KEXP-FM,,,,,,,,,,,,,,,,wd:Q30
88,en,literal,Lattice Semiconductor,,,,,,,,,,,,,,,,wd:Q30
89,en,literal,Neiman Marcus,,,,,,,,,,,,,,,,wd:Q30
90,en,literal,Bad Boy Records,,,,,,,,,,,,,,,,wd:Q30
91,en,literal,Society for Industrial and Applied Mathematics,,,,,,,,,,,,,,,,wd:Q30
92,en,literal,Huntsman Corporation,,,,,,,,,,,,,,,,wd:Q30
93,en,literal,"Palm, Inc.",,,,,,,,,,,,,,,,wd:Q30
94,en,literal,Sun Country Airlines,,,,,,,,,,,,,,,,wd:Q30
95,en,literal,Bojangles' Famous Chicken 'n Biscuits,,,,,,,,,,,,,,,,wd:Q30
96,en,literal,"Broadcast Music, Inc.",,,,,,,,,,,,,,,,wd:Q30
97,en,literal,Columbia Business School,,,,,,,,,,,,,,,,wd:Q30
98,en,literal,Diners Club International,,,,,,,,,,,,,,,,wd:Q30
99,en,literal,Esquire Network,,,,,,,,,,,,,,,,wd:Q30
100,en,literal,Slim Fast,,,,,,,,,,,,,,,,wd:Q30
101,en,literal,YES Network,,,,,,,,,,,,,,,,wd:Q30
102,en,literal,Kindred Healthcare,,,,,,,,,,,,,,,,wd:Q30
103,en,literal,Viking Press,,,,,,,,,,,,,,,,wd:Q30
104,en,literal,CRC Press,,,,,,,,,,,,,,,,wd:Q30
105,en,literal,Daybreak Game Company,,,,,,,,,,,,,,,,wd:Q30
106,en,literal,Kohl's,,,,,,,,,,,,,,,,wd:Q30
107,en,literal,WCAX-TV,,,,,,,,,,,,,,,,wd:Q30
108,en,literal,Font Bureau,,,,,,,,,,,,,,,,wd:Q30
109,en,literal,Atari Games,,,,,,,,,,,,,,,,wd:Q30
110,en,literal,United Technologies Corporation,,,,,,,,,,,,,,,,wd:Q30
111,en,literal,Cisco,http://www.w3.org/2001/XMLSchema#decimal,literal,66639,http://www.w3.org/2001/XMLSchema#decimal,literal,97497000000,http://www.w3.org/2001/XMLSchema#decimal,literal,11812000000,http://www.w3.org/2001/XMLSchema#decimal,literal,41202000000,http://www.w3.org/2001/XMLSchema#decimal,literal,234790000000,wd:Q30
112,en,literal,CheapTickets,,,,,,,,,,,,,,,,wd:Q30
113,en,literal,Peet's Coffee,,,,,,,,,,,,,,,,wd:Q30
114,en,literal,Club Passim,,,,,,,,,,,,,,,,wd:Q30
115,en,literal,KTLA,,,,,,,,,,,,,,,,wd:Q30
116,en,literal,Proenza Schouler,,,,,,,,,,,,,,,,wd:Q30
117,en,literal,McIntosh Laboratory,,,,,,,,,,,,,,,,wd:Q30
118,en,literal,Dischord Records,,,,,,,,,,,,,,,,wd:Q30
119,en,literal,Disneyland Resort,,,,,,,,,,,,,,,,wd:Q30
120,en,literal,In-N-Out Burger,,,,,,,,,,,,,,,,wd:Q30
121,en,literal,Sonim Technologies,,,,,,,,,,,,,,,,wd:Q30
122,en,literal,CNN International,,,,,,,,,,,,,,,,wd:Q30
123,en,literal,K-LOVE,,,,,,,,,,,,,,,,wd:Q30
124,en,literal,EnterpriseDB,,,,,,,,,,,,,,,,wd:Q30
125,en,literal,Office Depot,,,,,,,,,,,,,,,,wd:Q30
126,en,literal,McKinsey & Company,http://www.w3.org/2001/XMLSchema#decimal,literal,38000,,,,,,,,,,,,,wd:Q30
127,en,literal,Alamo Rent a Car,,,,,,,,,,,,,,,,wd:Q30
128,en,literal,Fatburger,,,,,,,,,,,,,,,,wd:Q30
129,en,literal,First National Bank Alaska,,,,,,,,,,,,,,,,wd:Q30
130,en,literal,K-Swiss,,,,,,,,,,,,,,,,wd:Q30
131,en,literal,Freeport-McMoRan,,,,,,,,,,,,,,,,wd:Q30
132,en,literal,Scribd,,,,,,,,,,,,,,,,wd:Q30
133,en,literal,Genzyme,,,,,,,,,,,,,,,,wd:Q30
134,en,literal,Modern Language Association,,,,,,,,,,,,,,,,wd:Q30
135,en,literal,Georgia-Pacific,,,,,,,,,,,,,,,,wd:Q30
136,en,literal,GoJet Airlines LLC,,,,,,,,,,,,,,,,wd:Q30
137,en,literal,Tradeshift,,,,,,,,,,,,,,,,wd:Q30
138,en,literal,WGME-TV,,,,,,,,,,,,,,,,wd:Q30
139,en,literal,John Paul Mitchell Systems,,,,,,,,,,,,,,,,wd:Q30
140,en,literal,Hillerich & Bradsby,,,,,,,,,,,,,,,,wd:Q30
141,en,literal,Walden Media,,,,,,,,,,,,,,,,wd:Q30
142,en,literal,KGRT-FM,,,,,,,,,,,,,,,,wd:Q30
